scheduler_name,run_label,seed,transition_index,source_profile_id,target_profile_id,source_sequence_index,target_sequence_index,pair_category,predicted_ms,measured_ms,absolute_error,relative_error,interaction_residual,shared_object_count,source_only_object_count,target_only_object_count,same_node_runtime,same_rootfs,same_repo_baseline,same_dependency_view,same_build_tool,same_test_tool,same_native_bundle,measured_reuse_ms,measured_switch_ms,measured_reload_ms,measured_invalidate_ms,measured_cleanup_ms,shared_object_ids,cold_object_ids
random,random_seed_23,23,28,swesmith/strapi__strapi.e5b87a54,swesmith/Redocly__redoc.d41fd46f,53,47,diff_node_diff_rootfs|same_test_tool|low_overlap|native_abi_change|rootfs_change,245276.078683,218965.675579,26310.403104,0.120158,-26310.403104,0,8,9,False,False,False,False,False,True,False,0.0,11.357465500000002,218954.31811300002,0.0,0.0,,build_cache:Redocly__redoc.d41fd46f:root:typescript:68063787fe82;build_cache:Redocly__redoc.d41fd46f:root:webpack:68063787fe82;dependency_view:Redocly__redoc.d41fd46f:root:398d8eda0bb00a78;node_runtime:18.19.1:linux:x86_64:glibc:abi109;repo_baseline:Redocly__redoc:d41fd46f7cbee86bf83dc17b7ec51baf54f72a54;rootfs:node_18-slim;source_overlay:Redocly__redoc.d41fd46f:root;test_transform_cache:Redocly__redoc.d41fd46f:root:cypress:68063787fe82;test_transform_cache:Redocly__redoc.d41fd46f:root:jest:68063787fe82
random,random_seed_23,23,29,swesmith/Redocly__redoc.d41fd46f,swesmith/babel__babel.2ea3fc8f,47,6,diff_node_diff_rootfs|low_overlap|native_abi_change|rootfs_change,29905.253608,26665.08832,3240.165287,0.121513,-3240.165287,0,9,5,False,False,False,False,False,False,False,0.0,11.357465500000002,26653.730854999998,0.0,0.0,,dependency_view:babel__babel.2ea3fc8f:root:fdd0cb43f8868f9e;node_runtime:20.19.1:linux:x86_64:glibc:abi115;repo_baseline:babel__babel:2ea3fc8f9b33a911840f17fbc407e7bfae2ed66f;rootfs:node_20-bullseye;source_overlay:babel__babel.2ea3fc8f:root
random,random_seed_23,23,30,swesmith/babel__babel.2ea3fc8f,swesmith/umijs__qiankun.693cdde7,6,59,diff_node_diff_rootfs|low_overlap|native_abi_change|rootfs_change,126669.172405,116266.710034,10402.46237,0.089471,-10402.46237,0,5,6,False,False,False,False,False,False,False,0.0,11.357465500000002,116255.352569,0.0,0.0,,build_cache:umijs__qiankun.693cdde7:root:changesets:39fec7936def;dependency_view:umijs__qiankun.693cdde7:root:af8a3045705a19cc;node_runtime:18.19.1:linux:x86_64:glibc:abi109;repo_baseline:umijs__qiankun:693cdde75049830820ff9490dd267f9701db25e6;rootfs:node_18-slim;source_overlay:umijs__qiankun.693cdde7:root
random,random_seed_23,23,31,swesmith/umijs__qiankun.693cdde7,swesmith/remy__nodemon.daad5c16,59,50,same_node_same_rootfs,24468.518743,6704.830964,17763.687779,2.649386,-17763.687779,2,4,4,True,True,False,False,False,False,False,132.289401,0.0494345,6572.492129,0.0,0.0,node_runtime:18.19.1:linux:x86_64:glibc:abi109;rootfs:node_18-slim,dependency_view:remy__nodemon.daad5c16:root:e2111c2b7033d511;repo_baseline:remy__nodemon:daad5c162919fa6abff53be16832bdf55f2204ad;source_overlay:remy__nodemon.daad5c16:root;test_transform_cache:remy__nodemon.daad5c16:root:mocha:93608e3893b6
random,random_seed_23,23,32,swesmith/remy__nodemon.daad5c16,swesmith/payloadcms__payload.8f660355,50,43,diff_node_diff_rootfs|low_overlap|native_abi_change|rootfs_change,240654.074356,221323.199106,19330.875249,0.087342,-19330.875249,0,6,12,False,False,False,False,False,False,False,0.0,11.357465500000002,221311.84164099998,0.0,0.0,,build_cache:payloadcms__payload.8f660355:root:next:096d4a336345;build_cache:payloadcms__payload.8f660355:root:turbo:096d4a336345;dependency_view:payloadcms__payload.8f660355:root:a2f282bd4e00dd49;native_binary_bundle:payloadcms__payload.8f660355:root:@swc_core:115;native_binary_bundle:payloadcms__payload.8f660355:root:node-gyp:115;native_binary_bundle:payloadcms__payload.8f660355:root:sharp:115;node_runtime:20.19.1:linux:x86_64:glibc:abi115;repo_baseline:payloadcms__payload:8f66035522f568d42098a7ad525e7bf700662b9a;rootfs:node_20-slim;source_overlay:payloadcms__payload.8f660355:root;test_transform_cache:payloadcms__payload.8f660355:root:playwright:096d4a336345;test_transform_cache:payloadcms__payload.8f660355:root:vitest:096d4a336345
random,random_seed_23,23,33,swesmith/payloadcms__payload.8f660355,swesmith/redux-saga__redux-saga.a4ace10d,43,48,diff_node_diff_rootfs|low_overlap|native_abi_change|rootfs_change,137587.749818,122815.381949,14772.367869,0.120281,-14772.367869,0,12,7,False,False,False,False,False,False,False,0.0,11.357465500000002,122804.024484,0.0,0.0,,build_cache:redux-saga__redux-saga.a4ace10d:root:changesets:c91a6dc103c2;dependency_view:redux-saga__redux-saga.a4ace10d:root:c1bcbd93da3b0eeb;node_runtime:18.19.1:linux:x86_64:glibc:abi109;repo_baseline:redux-saga__redux-saga:a4ace10dc3ff182828cd3ee7469f6667e08ceb62;rootfs:node_18-slim;source_overlay:redux-saga__redux-saga.a4ace10d:root;test_transform_cache:redux-saga__redux-saga.a4ace10d:root:jest:c91a6dc103c2
random,random_seed_23,23,34,swesmith/redux-saga__redux-saga.a4ace10d,swesmith/bluesky-social__social-app.cbd48c85,48,8,diff_node_diff_rootfs|same_test_tool|low_overlap|native_abi_change|rootfs_change,137587.749818,122815.381949,14772.367869,0.120281,-14772.367869,0,7,7,False,False,False,False,False,True,False,0.0,11.357465500000002,122804.024484,0.0,0.0,,build_cache:bluesky-social__social-app.cbd48c85:root:typescript:4a9667753d9f;dependency_view:bluesky-social__social-app.cbd48c85:root:109982c53979748a;node_runtime:20.19.1:linux:x86_64:glibc:abi115;repo_baseline:bluesky-social__social-app:cbd48c855a57f1a294f4b7362eaadb505bf5f9f6;rootfs:node_20-slim;source_overlay:bluesky-social__social-app.cbd48c85:root;test_transform_cache:bluesky-social__social-app.cbd48c85:root:jest:4a9667753d9f
random,random_seed_23,23,35,swesmith/bluesky-social__social-app.cbd48c85,swesmith/fabricjs__fabric.js.6742471c,8,18,same_node_same_rootfs|same_build_tool,133198.843194,103525.069773,29673.773421,0.286634,-29673.773421,2,5,7,True,True,False,False,True,False,False,16.393405,0.0494345,103508.626934,0.0,0.0,node_runtime:20.19.1:linux:x86_64:glibc:abi115;rootfs:node_20-slim,build_cache:fabricjs__fabric.js.6742471c:root:typescript:bdce61823eab;dependency_view:fabricjs__fabric.js.6742471c:root:56b6543f933cb2b3;native_binary_bundle:fabricjs__fabric.js.6742471c:root:canvas:115;repo_baseline:fabricjs__fabric.js:6742471c23e5fd8afbb1282246b4b785455c8c17;source_overlay:fabricjs__fabric.js.6742471c:root;test_transform_cache:fabricjs__fabric.js.6742471c:root:playwright:bdce61823eab;test_transform_cache:fabricjs__fabric.js.6742471c:root:vitest:bdce61823eab
random,random_seed_23,23,36,swesmith/fabricjs__fabric.js.6742471c,swesmith/svg__svgo.c06d8f68,18,55,same_node_same_rootfs|same_build_tool,225432.305793,185792.178397,39640.127396,0.213357,-39640.127396,2,7,6,True,True,False,False,True,False,False,16.393405,0.0494345,185775.735557,0.0,0.0,node_runtime:20.19.1:linux:x86_64:glibc:abi115;rootfs:node_20-slim,build_cache:svg__svgo.c06d8f68:root:rollup:2b58ff2876b3;build_cache:svg__svgo.c06d8f68:root:typescript:2b58ff2876b3;dependency_view:svg__svgo.c06d8f68:root:e3122b4a0e1aa47b;repo_baseline:svg__svgo:c06d8f6899788defae9594537063c2f4307803e4;source_overlay:svg__svgo.c06d8f68:root;test_transform_cache:svg__svgo.c06d8f68:root:jest:2b58ff2876b3
random,random_seed_23,23,37,swesmith/svg__svgo.c06d8f68,swesmith/bootstrap-vue__bootstrap-vue.9a246f45,55,9,diff_node_diff_rootfs|same_build_tool|same_test_tool|low_overlap|native_abi_change|rootfs_change,137587.749818,122815.381949,14772.367869,0.120281,-14772.367869,0,8,7,False,False,False,False,True,True,False,0.0,11.357465500000002,122804.024484,0.0,0.0,,build_cache:bootstrap-vue__bootstrap-vue.9a246f45:root:rollup:594eccebc247;dependency_view:bootstrap-vue__bootstrap-vue.9a246f45:root:d41e6daa3c100016;node_runtime:18.19.1:linux:x86_64:glibc:abi109;repo_baseline:bootstrap-vue__bootstrap-vue:9a246f45fc813f161df291fc7d6197febf8afaf4;rootfs:node_18-bullseye-slim;source_overlay:bootstrap-vue__bootstrap-vue.9a246f45:root;test_transform_cache:bootstrap-vue__bootstrap-vue.9a246f45:root:jest:594eccebc247
