resource_kind,object_name,from_version/config,to_version/config,transition_class,cost_class,median_ms,p95_ms,invalidation_targets,reuse_safe,sample_count,success_count,failure_count,timeout_count,measurement_environment_id,workload_origin,benchmark_id,from_object_id,to_object_id
browser_process,chromium,151.0.7922.77,151.0.7922.77,compatible_reuse,TRANSITION,0.562031,0.5855943,,True,7,7,0,0,env:7a9cda66bc6b151a7886,real,GUI-005,browser_process:chromium:151.0.7922.77:headless,browser_process:chromium:151.0.7922.77:headless
browser_process,chromium,151.0.7922.77,151.0.7922.77,compatible_reuse,TRANSITION,0.548871,0.5688061,,True,7,7,0,0,env:7a9cda66bc6b151a7886,real,GUI-006,browser_process:chromium:151.0.7922.77:headless,browser_process:chromium:151.0.7922.77:headless
browser_profile,chromium profile,cold,151.0.7922.77,artifact_cold,TRANSITION,5.101571,6.8206185,,True,7,7,0,0,env:7a9cda66bc6b151a7886,real,BRW-013,,browser_profile:chromium:151.0.7922.77:ephemeral
browser_profile,chromium profile,151.0.7922.77,151.0.7922.77,dirty_reset,TRANSITION,1.524166,1.6381999999999999,,True,7,7,0,0,env:7a9cda66bc6b151a7886,real,BRW-014,browser_profile:chromium:151.0.7922.77:ephemeral,browser_profile:chromium:151.0.7922.77:ephemeral
build_cache,npm script dispatch,cold,v1,process_cold,TRANSITION,251.841551,268.7553915,,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,BLD-001,,build_cache:synthetic:npm-script
build_cache,typescript,cold,7.0.2,artifact_cold,TRANSITION,525.484661,555.622042,,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,BLD-002,,build_cache:synthetic:typescript:7.0.2
build_cache,typescript,7.0.2,7.0.2,exact_hit,TRANSITION,251.987763,257.4661175,,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,BLD-002,build_cache:synthetic:typescript:7.0.2,build_cache:synthetic:typescript:7.0.2
build_cache,typescript,7.0.2,7.0.2,incompatible_switch,TRANSITION,242.911371,262.37742959999997,build_cache,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,BLD-002,build_cache:synthetic:typescript:7.0.2,build_cache:synthetic:typescript:7.0.2
build_cache,babel,cold,7.28.4,artifact_cold,TRANSITION,240.2496,255.33125049999998,,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,BLD-004,,build_cache:synthetic:babel:7.28.4
build_cache,babel,7.28.4,7.28.4,exact_hit,TRANSITION,232.89811,236.7874861,,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,BLD-004,build_cache:synthetic:babel:7.28.4,build_cache:synthetic:babel:7.28.4
build_cache,babel,7.28.4,7.28.4,incompatible_switch,TRANSITION,234.285538,244.69953710000001,build_cache,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,BLD-004,build_cache:synthetic:babel:7.28.4,build_cache:synthetic:babel:7.28.4
build_cache,swc,cold,1.16.1,artifact_cold,TRANSITION,116.848473,122.23915,,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,BLD-005,,build_cache:synthetic:swc:1.16.1
build_cache,swc,1.16.1,1.16.1,exact_hit,TRANSITION,119.882596,125.15481919999999,,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,BLD-005,build_cache:synthetic:swc:1.16.1,build_cache:synthetic:swc:1.16.1
build_cache,swc,1.16.1,1.16.1,incompatible_switch,TRANSITION,116.056643,124.2996091,build_cache,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,BLD-005,build_cache:synthetic:swc:1.16.1,build_cache:synthetic:swc:1.16.1
build_cache,esbuild,cold,0.28.2,artifact_cold,TRANSITION,119.640538,126.69815949999999,,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,BLD-006,,build_cache:synthetic:esbuild:0.28.2
build_cache,esbuild,0.28.2,0.28.2,exact_hit,TRANSITION,122.652617,145.8946159,,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,BLD-006,build_cache:synthetic:esbuild:0.28.2,build_cache:synthetic:esbuild:0.28.2
build_cache,esbuild,0.28.2,0.28.2,incompatible_switch,TRANSITION,119.828882,131.6865633,build_cache,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,BLD-006,build_cache:synthetic:esbuild:0.28.2,build_cache:synthetic:esbuild:0.28.2
build_cache,rollup,cold,4.63.1,artifact_cold,TRANSITION,119.888181,127.44254430000001,,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,BLD-007,,build_cache:synthetic:rollup:4.63.1
